Geneid	Chr	Start	End	Strand	Length	pDG_M-t0-1	pDG_M-t0-2	pDG7_M-t0-1	pDG7_M-t0-2	pDG-t0-1	pDG-t0-2	pDG7-t0-1	pDG7-t0-2	GIL01-t0-1	GIL01_M-t0-1
HIS92_RS20800	NZ_CP051858.1	4050914	4051432	+	519	0	1	7	2	1	1	0	12	24	9
HIS92_RS20805	NZ_CP051858.1	4051592	4052800	+	1209	2517	4134	1531	3949	2980	3488	3050	3145	1208	327
HIS92_RS20810	NZ_CP051858.1	4052833	4053345	-	513	36	16	13	36	16	23	47	52	38	26
HIS92_RS20815	NZ_CP051858.1	4053516	4053743	+	228	66	80	22	66	42	55	61	92	38	32
HIS92_RS20820	NZ_CP051858.1	4054037	4054837	-	801	1073	1557	1350	1932	1571	2294	2422	2652	1389	537
HIS92_RS20825	NZ_CP051858.1	4054955	4055953	-	999	1539	2482	1258	2459	2091	2455	2759	3333	3844	3058
HIS92_RS20830	NZ_CP051858.1	4055965	4056585	-	621	1368	1991	1251	2062	1878	2101	2386	2964	2807	2109
HIS92_RS20835	NZ_CP051858.1	4056897	4058939	+	2043	26	33	64	49	33	52	43	95	122	46
HIS92_RS20840	NZ_CP051858.1	4059020	4059448	-	429	2	3	3	7	6	12	0	10	6	5
HIS92_RS20845	NZ_CP051858.1	4059666	4060272	-	607	21	30	14	23	25	34	24	31	35	28
HIS92_RS20850	NZ_CP051858.1	4060479	4061744	-	1266	166	159	73	170	117	164	192	217	186	97
HIS92_RS20855	NZ_CP051858.1	4061896	4062741	+	846	11	23	54	28	7	13	14	58	77	20
HIS92_RS20860	NZ_CP051858.1	4062956	4063150	-	195	83	123	77	132	85	90	121	126	80	60
HIS92_RS20865	NZ_CP051858.1	4063272	4063802	-	531	1045	1226	945	3142	2274	1642	3694	5554	1118	318
HIS92_RS20870	NZ_CP051858.1	4063910	4065724	-	1815	277	473	262	664	507	556	796	890	706	462
HIS92_RS20875	NZ_CP051858.1	4066028	4066735	-	708	2195	3259	940	3568	2536	2577	3325	3703	2597	1486
HIS92_RS20880	NZ_CP051858.1	4066912	4067700	+	789	78	96	77	78	56	79	78	82	65	70
HIS92_RS20885	NZ_CP051858.1	4067705	4070284	-	2580	400	554	482	594	603	743	715	1022	1329	1657
HIS92_RS20890	NZ_CP051858.1	4070467	4070856	+	390	9	15	17	14	2	11	13	36	29	11
HIS92_RS20895	NZ_CP051858.1	4070879	4071370	+	492	48	74	18	61	43	43	56	91	69	18
HIS92_RS20900	NZ_CP051858.1	4071476	4072390	+	915	8	2	16	25	1	13	18	19	40	9
HIS92_RS20905	NZ_CP051858.1	4072503	4073627	+	1125	6	13	46	17	5	16	7	43	67	15
HIS92_RS20910	NZ_CP051858.1	4073620	4074216	+	597	3	9	14	3	5	1	3	8	12	2
HIS92_RS20915	NZ_CP051858.1	4074213	4074743	+	531	9	3	15	6	1	6	7	13	17	3
HIS92_RS20920	NZ_CP051858.1	4075033	4075761	+	729	359	577	243	680	741	735	924	1221	1244	706
HIS92_RS20925	NZ_CP051858.1	4075868	4076389	+	522	161	199	114	211	212	258	258	342	347	171
HIS92_RS20930	NZ_CP051858.1	4076511	4078136	+	1626	65	93	95	100	153	191	142	258	243	109
HIS92_RS20935	NZ_CP051858.1	4078151	4079308	+	1158	168	222	233	207	279	398	334	466	354	137
HIS92_RS20940	NZ_CP051858.1	4079611	4080327	+	717	210	213	169	292	386	340	431	510	595	556
HIS92_RS20945	NZ_CP051858.1	4080327	4082102	+	1776	468	636	427	750	877	949	973	1246	1827	1501
HIS92_RS20950	NZ_CP051858.1	4082239	4082820	+	582	6	14	13	17	6	12	12	37	33	17
HIS92_RS20955	NZ_CP051858.1	4082905	4083519	+	615	10	9	28	22	9	15	15	32	29	9
HIS92_RS20960	NZ_CP051858.1	4083673	4084359	-	687	582	778	475	1008	994	978	1344	1871	1537	679
HIS92_RS20965	NZ_CP051858.1	4084910	4085488	+	579	302	330	413	417	472	604	573	634	348	98
HIS92_RS20970	NZ_CP051858.1	4085608	4085856	-	249	2340	2470	2753	2804	1618	1883	2468	2960	2946	900
HIS92_RS20975	NZ_CP051858.1	4086156	4087217	+	1062	80	100	76	113	90	90	128	171	83	64
HIS92_RS20980	NZ_CP051858.1	4087207	4088736	+	1530	59	72	60	79	56	98	83	113	124	70
HIS92_RS20985	NZ_CP051858.1	4088736	4089299	+	564	114	158	61	125	96	112	141	180	106	103
HIS92_RS20990	NZ_CP051858.1	4089322	4089801	+	480	130	162	67	161	113	144	144	168	131	111
HIS92_RS20995	NZ_CP051858.1	4089869	4090645	+	777	225	339	174	353	200	248	281	365	254	217
HIS92_RS21000	NZ_CP051858.1	4090645	4091520	+	876	406	611	255	647	383	403	520	704	519	379
HIS92_RS21005	NZ_CP051858.1	4091598	4092206	+	609	463	615	240	634	314	305	429	562	356	292
HIS92_RS21010	NZ_CP051858.1	4092518	4093804	+	1287	1759	3072	931	3076	3217	3614	3784	4680	2460	1635
HIS92_RS21015	NZ_CP051858.1	4093885	4094094	+	210	2	5	15	4	2	0	1	5	7	2
HIS92_RS21020	NZ_CP051858.1	4094189	4094425	+	237	5715	4923	1083	1345	301	379	127	234	266	1491
HIS92_RS21025	NZ_CP051858.1	4094505	4095035	+	531	2769	4862	425	1169	308	293	140	230	310	1532
HIS92_RS21030	NZ_CP051858.1	4095144	4096124	+	981	172	221	82	135	83	74	85	148	174	173
HIS92_RS21035	NZ_CP051858.1	4096160	4097134	-	975	151	169	103	174	184	237	235	338	358	356
HIS92_RS21040	NZ_CP051858.1	4097314	4097487	+	174	1	6	6	1	4	3	1	11	7	4
HIS92_RS21045	NZ_CP051858.1	4097617	4098294	+	678	93	109	102	157	181	166	213	337	374	263
HIS92_RS21050	NZ_CP051858.1	4098627	4099775	+	1149	1959	3569	1345	4644	3399	3614	4045	4476	2369	747
HIS92_RS21055	NZ_CP051858.1	4099788	4100837	+	1050	87	158	89	214	117	160	200	260	174	117
HIS92_RS21060	NZ_CP051858.1	4101127	4101261	-	135	0	1	4	0	1	0	0	5	3	0
HIS92_RS21065	NZ_CP051858.1	4101379	4101990	+	612	0	5	7	1	1	1	1	6	13	3
HIS92_RS21070	NZ_CP051858.1	4101983	4102876	+	894	4	0	13	1	1	2	1	10	9	4
HIS92_RS21075	NZ_CP051858.1	4102873	4103058	+	186	0	0	14	5	0	2	1	5	11	0
HIS92_RS21080	NZ_CP051858.1	4103183	4104493	+	1311	617	704	549	687	686	750	734	940	1156	1365
HIS92_RS21085	NZ_CP051858.1	4104512	4105534	+	1023	466	635	490	574	632	811	690	954	1078	1298
HIS92_RS21090	NZ_CP051858.1	4105650	4105901	+	252	9	8	13	15	8	4	16	17	10	5
HIS92_RS21095	NZ_CP051858.1	4106169	4106372	+	204	5	6	5	7	2	1	8	12	6	6
HIS92_RS21100	NZ_CP051858.1	4106436	4107149	+	714	20	26	24	34	20	29	35	49	80	12
HIS92_RS21105	NZ_CP051858.1	4107392	4108870	+	1479	11	8	43	18	10	20	13	47	80	13
HIS92_RS21110	NZ_CP051858.1	4109170	4109442	+	273	30167	27885	18424	31828	23443	27399	31123	32817	21307	9646
HIS92_RS21115	NZ_CP051858.1	4109563	4110132	+	570	438	642	274	576	454	440	483	630	606	361
HIS92_RS21120	NZ_CP051858.1	4110316	4111050	+	735	184	248	120	287	208	252	360	411	334	277
HIS92_RS21125	NZ_CP051858.1	4111089	4111802	+	714	225	379	171	429	283	324	373	467	478	357
HIS92_RS21130	NZ_CP051858.1	4111834	4112796	+	963	356	532	229	609	429	461	640	719	774	567
HIS92_RS21135	NZ_CP051858.1	4112921	4113367	+	447	1867	3254	1488	4671	2217	2726	2904	3053	1268	577
HIS92_RS21140	NZ_CP051858.1	4113632	4114804	+	1173	38	56	50	74	50	90	65	129	76	79
HIS92_RS21145	NZ_CP051858.1	4114804	4115889	+	1086	59	64	66	83	66	79	64	110	109	129
HIS92_RS21150	NZ_CP051858.1	4116022	4117134	+	1113	169	263	125	294	219	234	247	296	263	174
HIS92_RS21155	NZ_CP051858.1	4117603	4118865	+	1263	588	771	401	698	595	658	633	918	730	643
HIS92_RS21160	NZ_CP051858.1	4118939	4119475	+	537	528	589	476	589	480	568	641	694	625	339
HIS92_RS21165	NZ_CP051858.1	4119610	4120089	+	480	4	10	18	9	1	10	5	16	21	7
HIS92_RS21170	NZ_CP051858.1	4120227	4120739	+	513	15	7	17	17	16	24	9	29	39	27
HIS92_RS21175	NZ_CP051858.1	4120740	4121414	+	675	26	28	41	20	43	43	37	64	67	49
HIS92_RS21180	NZ_CP051858.1	4121458	4122225	+	768	34	51	46	38	40	95	71	82	99	77
HIS92_RS21185	NZ_CP051858.1	4122344	4122934	+	591	44	85	37	91	88	98	110	122	122	62
HIS92_RS21190	NZ_CP051858.1	4122960	4123646	+	687	48	94	58	99	84	105	130	132	148	82
HIS92_RS21195	NZ_CP051858.1	4123753	4124541	+	789	2	7	12	13	6	9	6	25	44	11
HIS92_RS21200	NZ_CP051858.1	4124643	4125326	+	684	1613	1780	935	1742	1218	1608	1942	2080	1403	634
HIS92_RS21205	NZ_CP051858.1	4125429	4126070	+	642	4	4	20	3	2	4	0	7	37	6
HIS92_RS21210	NZ_CP051858.1	4126099	4126980	-	882	66	90	77	84	58	103	85	106	87	81
HIS92_RS21215	NZ_CP051858.1	4127343	4127684	+	342	20	34	19	27	30	39	38	64	65	76
HIS92_RS21220	NZ_CP051858.1	4127684	4128484	+	801	93	135	78	179	117	132	140	200	208	265
HIS92_RS21225	NZ_CP051858.1	4128499	4128894	+	396	76	98	46	104	79	78	91	158	109	168
HIS92_RS21230	NZ_CP051858.1	4128906	4129610	+	705	76	81	50	53	64	81	77	96	168	269
HIS92_RS21235	NZ_CP051858.1	4129607	4130752	+	1146	92	119	55	112	86	126	89	151	271	455
HIS92_RS21240	NZ_CP051858.1	4130739	4131932	+	1194	88	123	57	103	102	97	86	167	302	542
HIS92_RS21245	NZ_CP051858.1	4131917	4132897	+	981	87	123	58	100	71	91	91	120	134	353
HIS92_RS21250	NZ_CP051858.1	4133025	4133414	-	390	0	3	8	4	3	0	2	6	9	1
HIS92_RS21255	NZ_CP051858.1	4133935	4134771	+	837	92	91	95	149	158	183	178	312	241	256
HIS92_RS21260	NZ_CP051858.1	4134771	4135619	+	849	66	74	58	69	117	98	86	151	154	205
HIS92_RS21265	NZ_CP051858.1	4135632	4136015	+	384	15	23	17	18	30	33	33	47	30	54
HIS92_RS21270	NZ_CP051858.1	4136147	4138951	+	2805	301	431	242	411	345	394	381	492	419	437
HIS92_RS21275	NZ_CP051858.1	4139202	4139372	+	171	287	294	249	354	275	353	345	442	361	309
HIS92_RS21280	NZ_CP051858.1	4139380	4139883	+	504	299	458	291	530	455	486	521	692	435	465
HIS92_RS21285	NZ_CP051858.1	4139902	4141089	+	1188	998	1473	977	1734	1537	1724	1885	2199	2267	1560
HIS92_RS21290	NZ_CP051858.1	4141210	4141917	+	708	33	33	34	30	20	37	37	57	80	44
HIS92_RS21295	NZ_CP051858.1	4141933	4142580	+	648	8	28	19	19	12	30	27	36	27	36
HIS92_RS21300	NZ_CP051858.1	4142584	4143102	+	519	47	58	61	92	86	85	133	140	147	46
HIS92_RS21305	NZ_CP051858.1	4143129	4145831	-	2703	1333	1504	1451	1808	2101	2197	2673	3983	4568	4213
HIS92_RS21310	NZ_CP051858.1	4145897	4146499	-	603	123	140	87	179	165	169	194	285	329	507
HIS92_RS21315	NZ_CP051858.1	4146603	4147628	+	1026	8	11	10	9	2	10	16	22	30	11
HIS92_RS21320	NZ_CP051858.1	4148045	4148287	+	243	33	45	31	77	30	23	52	64	59	38
HIS92_RS21325	NZ_CP051858.1	4148303	4148647	+	345	69	74	59	77	49	43	57	88	91	46
HIS92_RS21330	NZ_CP051858.1	4148674	4148865	-	192	122	218	221	243	197	214	184	314	531	165
HIS92_RS21335	NZ_CP051858.1	4149043	4149648	+	606	3	3	4	3	1	2	2	17	4	2
HIS92_RS21340	NZ_CP051858.1	4149804	4150226	+	423	1	2	4	4	4	2	4	4	12	4
HIS92_RS21345	NZ_CP051858.1	4150283	4150837	+	555	9	30	25	20	20	33	36	51	32	14
HIS92_RS21350	NZ_CP051858.1	4150935	4151270	+	336	964	1681	808	1962	1338	1542	1711	1812	1078	479
HIS92_RS21355	NZ_CP051858.1	4151357	4151747	+	391	463088	389998	664619	451202	349784	513744	431659	600660	407588	135367
HIS92_RS21360	NZ_CP051858.1	4151928	4153067	+	1140	170	241	120	234	207	226	289	396	472	674
HIS92_RS21365	NZ_CP051858.1	4153129	4153311	+	183	36	70	25	36	41	38	55	68	74	114
HIS92_RS21370	NZ_CP051858.1	4153451	4155388	+	1938	140	233	179	248	180	224	239	446	499	999
HIS92_RS21375	NZ_CP051858.1	4155489	4157006	+	1518	168	275	97	357	235	311	241	358	397	215
HIS92_RS21380	NZ_CP051858.1	4157053	4157523	+	471	2	2	11	7	2	1	1	10	16	3
HIS92_RS21385	NZ_CP051858.1	4157564	4158460	-	897	13	25	6	16	19	18	25	35	29	7
HIS92_RS21390	NZ_CP051858.1	4159065	4159811	+	747	15	30	34	24	14	9	22	73	59	15
HIS92_RS21395	NZ_CP051858.1	4160135	4160728	+	594	8	6	29	11	7	12	19	20	46	11
HIS92_RS21400	NZ_CP051858.1	4160732	4162054	+	1323	18	29	37	37	58	52	52	62	55	10
HIS92_RS21405	NZ_CP051858.1	4162070	4163233	-	1164	47	47	30	45	57	68	77	115	430	223
HIS92_RS21410	NZ_CP051858.1	4163433	4163588	+	156	22	5	8	5	8	10	6	11	13	5
HIS92_RS21415	NZ_CP051858.1	4163783	4167442	+	3660	151	216	122	201	220	255	273	368	623	456
HIS92_RS21420	NZ_CP051858.1	4167446	4167700	-	255	0	1	0	2	1	2	0	3	8	6
HIS92_RS21425	NZ_CP051858.1	4167772	4168233	+	462	18	42	31	27	30	28	35	56	106	96
HIS92_RS21430	NZ_CP051858.1	4168264	4168536	+	273	25	31	40	37	36	55	56	68	55	61
HIS92_RS21435	NZ_CP051858.1	4168539	4169372	+	834	93	114	107	121	132	179	139	144	248	197
HIS92_RS21440	NZ_CP051858.1	4169489	4169671	+	183	4588	7058	7770	8165	6870	9505	8090	9493	5467	1696
HIS92_RS21445	NZ_CP051858.1	4169693	4169876	+	184	5478	7407	9095	8871	7402	10053	7705	9388	5196	1152
HIS92_RS21450	NZ_CP051858.1	4169931	4170380	-	450	16	23	12	17	19	29	23	45	30	16
HIS92_RS21455	NZ_CP051858.1	4170464	4170775	+	312	3	10	8	5	4	6	3	7	18	16
HIS92_RS21460	NZ_CP051858.1	4170779	4172017	+	1239	18	32	30	28	30	28	26	68	80	63
HIS92_RS21465	NZ_CP051858.1	4172010	4172396	+	387	6	20	21	15	16	17	15	42	32	7
HIS92_RS21470	NZ_CP051858.1	4173110	4173835	+	726	423	676	342	494	712	1391	818	798	448	133
HIS92_RS21475	NZ_CP051858.1	4173968	4174834	+	867	106	97	70	124	112	116	127	208	197	144
HIS92_RS21480	NZ_CP051858.1	4175191	4175331	+	141	17	17	42	26	28	29	63	66	57	5
HIS92_RS21485	NZ_CP051858.1	4175660	4176853	+	1194	0	4	2	6	1	1	2	8	19	3
HIS92_RS21490	NZ_CP051858.1	4176854	4177597	+	744	7	6	6	8	3	6	4	8	28	12
HIS92_RS21495	NZ_CP051858.1	4177584	4178204	+	621	3	9	7	0	5	3	3	10	23	10
HIS92_RS21500	NZ_CP051858.1	4178223	4178861	+	639	4	10	9	4	2	10	2	9	25	7
HIS92_RS21505	NZ_CP051858.1	4178918	4180354	+	1437	8	14	25	20	12	5	11	40	58	14
HIS92_RS21510	NZ_CP051858.1	4180358	4181572	+	1215	4	9	21	9	4	5	14	21	31	7
HIS92_RS21515	NZ_CP051858.1	4181547	4182347	+	801	5	8	10	6	7	9	6	22	15	11
HIS92_RS21520	NZ_CP051858.1	4182344	4183396	+	1053	4	7	17	6	4	8	6	21	21	9
HIS92_RS21525	NZ_CP051858.1	4183489	4185036	+	1548	2	9	24	15	5	12	6	29	24	2
HIS92_RS21530	NZ_CP051858.1	4185145	4200177	-	15033	84	109	77	47	52	82	43	105	163	81
HIS92_RS21535	NZ_CP051858.1	4200300	4201160	+	861	7	15	25	20	6	25	9	42	61	9
HIS92_RS21540	NZ_CP051858.1	4201203	4201763	-	561	18	39	17	52	15	47	34	33	51	22
HIS92_RS21545	NZ_CP051858.1	4201946	4202206	+	261	43	37	49	61	25	57	45	55	93	27
HIS92_RS21550	NZ_CP051858.1	4202209	4203114	-	906	65	87	75	84	78	88	75	95	127	95
HIS92_RS21555	NZ_CP051858.1	4203128	4203514	-	387	30	31	22	26	26	46	49	60	51	37
HIS92_RS21560	NZ_CP051858.1	4203584	4204456	-	873	357	417	292	461	400	430	445	564	457	387
HIS92_RS21565	NZ_CP051858.1	4204640	4205125	+	486	27	35	24	35	21	20	35	53	94	81
HIS92_RS21570	NZ_CP051858.1	4205277	4205936	+	660	18	22	12	36	35	35	28	55	48	16
HIS92_RS21575	NZ_CP051858.1	4205949	4206125	+	177	3	9	10	13	7	5	16	13	13	7
HIS92_RS21580	NZ_CP051858.1	4206159	4206407	-	249	483	621	228	692	467	518	626	642	460	219
HIS92_RS21585	NZ_CP051858.1	4206527	4206724	-	198	3630	3995	2028	4842	4287	4752	6406	6338	3625	1152
HIS92_RS21590	NZ_CP051858.1	4206987	4207715	+	729	2	2	8	8	2	4	2	13	20	7
HIS92_RS21595	NZ_CP051858.1	4207730	4208473	+	744	60	75	26	73	29	49	54	59	49	8
HIS92_RS21600	NZ_CP051858.1	4208493	4208786	+	294	195	249	138	207	81	157	161	142	78	24
HIS92_RS21605	NZ_CP051858.1	4208865	4209494	+	630	11	8	13	10	5	7	14	18	28	1
HIS92_RS21610	NZ_CP051858.1	4209718	4210059	+	342	1	4	8	7	0	0	2	21	21	3
HIS92_RS21615	NZ_CP051858.1	4210062	4211612	+	1551	11	14	53	20	11	27	20	30	55	24
HIS92_RS21620	NZ_CP051858.1	4211804	4213153	+	1350	9	14	53	24	5	17	8	45	60	8
HIS92_RS21625	NZ_CP051858.1	4213218	4213496	+	279	0	2	7	5	0	1	2	7	11	1
HIS92_RS21630	NZ_CP051858.1	4213563	4214726	-	1164	1547	1458	1625	2764	1926	1194	2317	4767	689	451
HIS92_RS21635	NZ_CP051858.1	4215058	4216731	+	1674	2	5	25	21	7	12	9	27	51	14
HIS92_RS21640	NZ_CP051858.1	4216826	4217656	+	831	42	52	38	52	53	73	76	86	63	18
HIS92_RS21645	NZ_CP051858.1	4217804	4219159	+	1356	282	280	439	407	334	328	442	550	432	202
HIS92_RS21650	NZ_CP051858.1	4219195	4219860	-	666	4	4	3	6	1	1	7	6	13	1
HIS92_RS21655	NZ_CP051858.1	4220022	4220600	+	579	37	75	48	99	106	123	153	208	109	38
HIS92_RS21660	NZ_CP051858.1	4220749	4221066	+	318	46	51	47	78	104	65	117	151	46	6
HIS92_RS21665	NZ_CP051858.1	4221216	4221950	+	735	207	268	86	358	168	222	253	285	158	96
HIS92_RS21670	NZ_CP051858.1	4222163	4222447	+	285	41	46	46	37	52	71	65	101	73	17
HIS92_RS21675	NZ_CP051858.1	4222475	4223200	-	726	533	907	264	886	608	704	856	888	473	172
HIS92_RS21680	NZ_CP051858.1	4223452	4224048	-	597	9	2	3	8	5	4	5	3	7	2
HIS92_RS21685	NZ_CP051858.1	4224172	4224291	-	120	1	1	1	1	2	2	2	1	2	1
HIS92_RS21690	NZ_CP051858.1	4224525	4224743	+	219	5	4	2	13	4	8	11	12	23	15
HIS92_RS21695	NZ_CP051858.1	4224797	4224985	+	189	40	31	30	33	21	28	26	35	13	11
HIS92_RS21700	NZ_CP051858.1	4225013	4225615	-	603	305	335	154	356	237	251	329	428	293	150
HIS92_RS21705	NZ_CP051858.1	4225788	4226621	+	834	106	117	98	151	140	131	141	168	109	59
HIS92_RS21710	NZ_CP051858.1	4226641	4227318	+	678	127	167	96	184	197	161	178	197	173	98
HIS92_RS21715	NZ_CP051858.1	4227469	4227837	+	369	431	676	270	776	633	674	795	959	788	368
HIS92_RS21720	NZ_CP051858.1	4227967	4229970	+	2004	1159	1619	689	2048	1868	1793	2093	2374	1814	1192
HIS92_RS21725	NZ_CP051858.1	4230144	4231778	+	1635	121	157	98	207	194	163	189	272	218	277
HIS92_RS21730	NZ_CP051858.1	4231808	4233196	+	1389	175	180	129	277	243	256	291	334	327	276
HIS92_RS21735	NZ_CP051858.1	4233224	4233940	+	717	199	209	135	238	206	236	306	341	262	211
HIS92_RS21740	NZ_CP051858.1	4233972	4234754	-	783	175	265	83	288	301	275	400	433	347	334
HIS92_RS21745	NZ_CP051858.1	4234794	4235291	-	498	219	260	83	266	314	254	384	442	280	268
HIS92_RS21750	NZ_CP051858.1	4235435	4235899	+	465	239	365	90	429	348	385	476	608	253	150
HIS92_RS21755	NZ_CP051858.1	4235915	4236367	+	453	183	323	79	398	317	335	397	423	312	155
HIS92_RS21760	NZ_CP051858.1	4236385	4237683	+	1299	480	794	231	851	780	746	994	1119	610	500
HIS92_RS21765	NZ_CP051858.1	4237725	4238588	+	864	170	252	94	378	285	233	327	425	221	238
HIS92_RS21770	NZ_CP051858.1	4238606	4239925	+	1320	142	246	117	330	324	281	309	437	295	249
HIS92_RS21775	NZ_CP051858.1	4239948	4240316	+	369	45	83	29	107	131	89	111	168	71	72
HIS92_RS21780	NZ_CP051858.1	4240306	4240578	+	273	75	86	62	141	122	124	119	128	79	85
HIS92_RS21785	NZ_CP051858.1	4240944	4241351	+	408	27	42	27	40	40	41	55	53	49	91
HIS92_RS21790	NZ_CP051858.1	4241371	4241784	+	414	14	25	16	23	32	33	23	48	40	54
HIS92_RS21795	NZ_CP051858.1	4241801	4242100	+	300	24	38	50	40	38	51	42	89	89	66
HIS92_RS21800	NZ_CP051858.1	4242123	4243700	+	1578	332	426	271	503	615	557	719	859	741	679
HIS92_RS21805	NZ_CP051858.1	4243714	4244718	+	1005	220	344	144	478	601	540	779	826	661	456
HIS92_RS21810	NZ_CP051858.1	4244705	4245394	+	690	52	55	57	71	68	83	91	112	136	203
HIS92_RS21815	NZ_CP051858.1	4245391	4246695	+	1305	102	111	64	151	173	141	183	269	381	441
HIS92_RS21820	NZ_CP051858.1	4246812	4247222	+	411	254	467	143	484	436	496	535	575	337	229
HIS92_RS21825	NZ_CP051858.1	4247233	4248342	+	1110	369	843	260	776	703	873	944	975	605	439
HIS92_RS21830	NZ_CP051858.1	4248346	4248924	+	579	191	294	93	333	249	256	275	326	307	312
HIS92_RS21835	NZ_CP051858.1	4248941	4250164	+	1224	307	509	237	550	480	457	549	649	439	516
HIS92_RS21840	NZ_CP051858.1	4250214	4250549	+	336	81	136	64	169	153	150	181	202	96	187
HIS92_RS21845	NZ_CP051858.1	4250860	4251345	+	486	142	174	144	286	224	252	257	320	166	151
HIS92_RS21850	NZ_CP051858.1	4251468	4252376	+	909	538	583	232	761	716	624	767	868	425	369
HIS92_RS21855	NZ_CP051858.1	4253114	4254061	+	948	66	68	38	122	119	99	92	166	119	40
HIS92_RS21860	NZ_CP051858.1	4254799	4258362	+	3564	268	231	193	283	498	414	334	482	382	379
HIS92_RS21865	NZ_CP051858.1	4258644	4259998	-	1355	59	68	36	66	33	56	48	60	72	40
HIS92_RS21870	NZ_CP051858.1	4260294	4261145	-	852	15100	16438	4546	24139	27320	18934	24861	27222	10212	4234
HIS92_RS21875	NZ_CP051858.1	4261403	4262188	+	786	24	22	25	31	25	34	25	62	80	62
HIS92_RS21880	NZ_CP051858.1	4262251	4262475	+	225	20	32	20	22	28	18	31	35	34	34
HIS92_RS21885	NZ_CP051858.1	4262490	4263476	+	987	122	135	90	113	154	152	192	227	257	325
HIS92_RS21890	NZ_CP051858.1	4263487	4263846	+	360	49	65	30	75	68	58	76	100	129	137
HIS92_RS21895	NZ_CP051858.1	4263859	4264179	+	321	50	64	65	78	65	83	82	100	93	104
HIS92_RS21900	NZ_CP051858.1	4264176	4264934	+	759	84	106	82	125	137	123	131	171	250	249
HIS92_RS21905	NZ_CP051858.1	4264968	4265243	+	276	38	50	29	38	62	53	48	67	90	115
HIS92_RS21910	NZ_CP051858.1	4265259	4266020	+	762	126	94	100	129	143	102	127	210	194	263
HIS92_RS21915	NZ_CP051858.1	4266031	4267077	+	1047	53	54	46	89	105	84	98	124	202	204
HIS92_RS21920	NZ_CP051858.1	4267101	4269167	+	2067	142	170	125	217	300	294	298	391	404	472
HIS92_RS21925	NZ_CP051858.1	4269182	4270492	+	1311	264	432	220	500	663	576	647	808	634	747
HIS92_RS21930	NZ_CP051858.1	4270535	4271308	+	774	292	359	177	498	661	577	754	896	588	459
HIS92_RS21935	NZ_CP051858.1	4271478	4272776	+	1299	32	45	38	31	53	72	39	73	53	31
HIS92_RS21940	NZ_CP051858.1	4272915	4273625	+	711	41	49	41	51	26	44	41	62	66	18
HIS92_RS21945	NZ_CP051858.1	4273643	4274479	+	837	35	50	23	57	37	67	48	73	65	37
HIS92_RS21950	NZ_CP051858.1	4274472	4275197	+	726	29	58	24	44	40	62	44	91	56	41
HIS92_RS21955	NZ_CP051858.1	4275188	4275499	+	312	14	25	10	36	30	46	35	32	27	9
HIS92_RS21960	NZ_CP051858.1	4275562	4275732	+	171	32	37	33	47	31	40	32	34	60	21
HIS92_RS21965	NZ_CP051858.1	4275812	4276396	-	585	53	64	33	78	66	70	77	93	72	40
HIS92_RS21970	NZ_CP051858.1	4276399	4276734	-	336	17	34	17	26	20	16	36	27	34	17
HIS92_RS21975	NZ_CP051858.1	4276805	4279030	-	2226	2	2	14	8	10	6	12	30	21	7
HIS92_RS21980	NZ_CP051858.1	4279246	4279425	-	180	4	15	7	7	9	12	16	11	11	3
HIS92_RS21985	NZ_CP051858.1	4279492	4280706	-	1215	21	46	24	50	51	60	53	95	37	13
HIS92_RS21990	NZ_CP051858.1	4280826	4282094	+	1269	18	16	39	25	27	24	20	66	41	10
HIS92_RS21995	NZ_CP051858.1	4282213	4282737	+	525	18	19	14	24	26	28	29	33	35	12
HIS92_RS22000	NZ_CP051858.1	4282778	4283671	-	894	8	6	11	7	9	16	3	11	10	5
HIS92_RS22005	NZ_CP051858.1	4283834	4284826	+	993	0	5	11	7	1	8	5	16	17	4
HIS92_RS22010	NZ_CP051858.1	4284804	4285829	+	1026	1	9	37	9	3	10	5	40	51	2
HIS92_RS22015	NZ_CP051858.1	4285842	4287512	+	1671	2	6	16	2	5	9	3	14	14	7
HIS92_RS22020	NZ_CP051858.1	4287509	4288771	+	1263	3	7	26	10	4	7	2	32	45	4
HIS92_RS22025	NZ_CP051858.1	4288792	4289625	+	834	27	19	21	12	8	11	15	32	26	14
HIS92_RS22030	NZ_CP051858.1	4289675	4290097	-	423	1199	1065	753	972	1546	2414	2163	2037	1243	188
HIS92_RS22035	NZ_CP051858.1	4290138	4290254	+	117	0	0	1	0	0	1	2	1	0	0
HIS92_RS22040	NZ_CP051858.1	4290320	4290481	+	162	73	280	99	378	304	412	488	545	221	47
HIS92_RS22045	NZ_CP051858.1	4290720	4291811	+	1092	17	24	23	25	19	26	21	37	27	11
HIS92_RS22050	NZ_CP051858.1	4291880	4292509	+	630	14	26	21	22	27	22	33	46	27	5
HIS92_RS22055	NZ_CP051858.1	4292662	4293237	+	576	6	14	21	26	8	16	13	19	17	4
HIS92_RS22060	NZ_CP051858.1	4293327	4293698	+	372	796	911	645	918	752	1283	903	923	436	76
HIS92_RS22065	NZ_CP051858.1	4293720	4294652	-	933	9	21	22	16	18	23	17	37	25	19
HIS92_RS22070	NZ_CP051858.1	4294613	4294942	-	330	4	16	1	7	2	7	6	7	7	2
HIS92_RS22075	NZ_CP051858.1	4294926	4295336	-	411	9	7	12	10	4	8	16	17	22	11
