Geneid	Chr	Start	End	Strand	Length	G-t0-1	G-t0-2	G-t5-1	G-t5-2	G-t10-1	G-t10-2	G-t20-1	G-t20-2	G-t30-1	G-t30-2	G_M-t5-1	G_M-t5-2	G_M-t10-1	G_M-t10-2	G_M-t20-1	G_M-t20-2	G_M-t30-1	G_M-t30-2
HIS92_RS23055	NZ_CP051858.1	4498106	4499401	+	1296	6	4	29	6	10	19	26	13	16	23	19	11	31	8	16	6	16	8
HIS92_RS23060	NZ_CP051858.1	4499394	4500452	+	1059	5	8	13	11	29	18	27	9	6	9	17	12	22	7	17	5	9	8
HIS92_RS23065	NZ_CP051858.1	4500449	4501342	+	894	9	9	19	6	40	19	21	1	9	17	13	6	11	8	11	8	19	10
HIS92_RS23070	NZ_CP051858.1	4501476	4501685	+	210	1	0	5	0	1	0	0	1	0	0	2	0	2	0	3	0	0	0
HIS92_RS23075	NZ_CP051858.1	4501893	4504196	+	2304	8	4	7	6	5	2	5	6	5	3	2	3	8	5	3	4	0	3
HIS92_RS23080	NZ_CP051858.1	4504517	4505518	+	1002	749	581	473	374	340	373	443	518	1037	426	501	495	341	421	278	587	309	455
HIS92_RS23085	NZ_CP051858.1	4506103	4506924	+	822	1367	1412	1445	1099	1179	1235	1295	1504	1689	1342	1058	1729	1248	1404	1012	1850	979	1729
HIS92_RS23090	NZ_CP051858.1	4506939	4507595	+	657	1552	1422	1480	1283	1464	1335	1656	1705	2144	1515	1260	1566	1290	1416	1122	2139	833	1840
HIS92_RS23095	NZ_CP051858.1	4507755	4508435	+	681	66	79	116	91	102	102	128	109	127	107	84	106	105	85	95	159	83	151
HIS92_RS23100	NZ_CP051858.1	4508532	4509065	+	534	9	7	14	4	6	7	14	8	12	7	3	9	13	4	4	5	9	12
HIS92_RS23105	NZ_CP051858.1	4509383	4511191	+	1809	6	29	14	24	22	25	27	19	16	22	16	24	26	22	26	14	17	6
HIS92_RS23110	NZ_CP051858.1	4511252	4513090	+	1839	11	27	23	34	28	29	28	10	11	17	14	24	20	22	24	9	14	17
HIS92_RS23115	NZ_CP051858.1	4513077	4514315	+	1239	3	10	8	12	14	12	5	9	13	15	5	11	10	5	12	7	6	6
HIS92_RS23120	NZ_CP051858.1	4514312	4514587	+	276	4	0	2	3	7	5	2	2	1	1	1	0	9	0	5	4	0	0
HIS92_RS23125	NZ_CP051858.1	4514611	4515594	+	984	157	305	289	251	358	366	446	242	200	306	201	249	367	256	279	307	291	303
HIS92_RS23130	NZ_CP051858.1	4515632	4516474	+	843	126	300	238	282	300	358	359	220	182	260	192	227	329	187	326	297	238	241
HIS92_RS23135	NZ_CP051858.1	4516599	4516805	+	207	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0
HIS92_RS23140	NZ_CP051858.1	4517041	4518270	+	1230	1	4	3	6	6	0	6	5	3	1	1	1	6	1	0	2	0	3
HIS92_RS23145	NZ_CP051858.1	4518324	4518938	-	615	1	7	8	5	12	0	6	7	2	8	3	8	8	7	8	6	6	5
HIS92_RS23150	NZ_CP051858.1	4519057	4520499	+	1443	43	75	87	99	129	109	181	69	72	91	79	62	135	51	123	72	79	73
HIS92_RS23155	NZ_CP051858.1	4520512	4520679	+	168	6	5	2	1	11	11	11	8	5	7	6	3	4	5	4	3	5	2
HIS92_RS23160	NZ_CP051858.1	4520793	4521758	-	966	0	1	2	6	6	0	1	2	6	2	1	1	2	0	0	2	0	2
HIS92_RS23165	NZ_CP051858.1	4521846	4521989	-	144	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIS92_RS23170	NZ_CP051858.1	4522208	4522960	+	753	81	116	114	102	173	95	215	121	124	91	98	95	162	83	174	130	110	67
HIS92_RS23175	NZ_CP051858.1	4523111	4524271	+	1161	160	187	281	218	338	222	566	247	373	207	210	161	359	127	388	202	341	148
HIS92_RS23180	NZ_CP051858.1	4524379	4524576	+	198	2	5	3	1	2	4	5	0	3	0	0	4	0	3	1	1	1	0
HIS92_RS23185	NZ_CP051858.1	4524605	4525066	+	462	19	13	27	3	8	5	17	6	31	8	11	3	11	6	4	14	15	6
HIS92_RS23190	NZ_CP051858.1	4525108	4525926	-	819	307	367	356	307	481	381	543	278	325	257	321	209	509	203	424	316	354	335
HIS92_RS23195	NZ_CP051858.1	4526202	4528083	+	1882	81	70	63	39	69	37	74	34	85	61	63	46	62	50	37	59	47	49
HIS92_RS23200	NZ_CP051858.1	4528199	4528486	+	288	88	61	112	89	104	85	123	64	125	78	88	52	90	53	107	105	86	80
HIS92_RS23205	NZ_CP051858.1	4528762	4529709	+	948	5	19	18	10	15	16	18	7	13	16	10	10	19	16	7	14	14	13
HIS92_RS23210	NZ_CP051858.1	4529749	4530057	-	309	34	36	25	48	34	37	46	24	29	19	29	8	27	25	50	40	52	49
HIS92_RS23215	NZ_CP051858.1	4530164	4531099	+	936	6	2	6	3	11	3	13	2	2	2	3	1	7	3	4	10	4	1
HIS92_RS23220	NZ_CP051858.1	4531124	4531753	+	630	5	4	6	4	12	0	8	1	10	6	4	6	13	6	5	3	7	3
HIS92_RS23225	NZ_CP051858.1	4532073	4532297	-	225	10	25	17	8	17	24	32	10	36	9	29	13	22	23	14	28	18	11
HIS92_RS23230	NZ_CP051858.1	4532382	4532729	-	348	8	9	14	8	7	14	23	11	5	5	9	6	16	15	10	10	5	9
HIS92_RS23235	NZ_CP051858.1	4532926	4533402	+	477	2	2	0	1	5	2	0	0	0	0	0	0	2	1	1	0	0	0
HIS92_RS23240	NZ_CP051858.1	4533636	4534685	+	1050	38	48	72	58	99	50	92	37	48	51	45	52	82	39	46	36	45	24
HIS92_RS23245	NZ_CP051858.1	4534886	4536868	+	1983	1203	383	1756	422	1878	553	1934	924	2029	933	1519	548	1778	568	1513	793	1175	709
HIS92_RS23250	NZ_CP051858.1	4537065	4537370	+	306	77	31	89	35	113	33	134	59	106	57	69	25	96	37	82	54	67	43
HIS92_RS23255	NZ_CP051858.1	4537692	4538057	+	366	113	100	76	58	85	68	109	39	104	61	58	64	93	67	72	144	59	132
HIS92_RS23260	NZ_CP051858.1	4538092	4539132	-	1041	0	2	1	2	0	2	3	1	2	4	1	0	1	8	1	2	1	4
HIS92_RS23265	NZ_CP051858.1	4539374	4539817	+	444	97	155	112	190	122	228	181	174	211	137	86	216	155	149	158	381	161	245
HIS92_RS23270	NZ_CP051858.1	4539920	4540375	+	456	68	139	80	95	97	84	105	69	94	101	55	77	91	80	77	98	64	93
HIS92_RS23275	NZ_CP051858.1	4540590	4541534	+	945	11	24	10	16	18	25	23	18	10	20	11	25	28	21	17	29	15	25
HIS92_RS23280	NZ_CP051858.1	4541579	4542580	-	1002	29	77	51	106	80	82	114	67	56	43	46	40	94	45	167	113	119	86
HIS92_RS23285	NZ_CP051858.1	4542685	4542876	-	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HIS92_RS23290	NZ_CP051858.1	4543054	4544517	+	1464	1	9	3	3	11	5	4	2	10	6	2	1	10	7	1	2	7	9
HIS92_RS23295	NZ_CP051858.1	4544602	4545186	+	585	3	18	17	17	9	26	23	10	12	13	8	7	19	20	12	21	15	22
HIS92_RS23300	NZ_CP051858.1	4545211	4546113	-	903	210	538	459	599	699	678	737	504	380	459	373	389	668	399	887	696	707	618
HIS92_RS23305	NZ_CP051858.1	4546279	4547229	+	951	207	236	263	203	297	286	372	223	235	239	168	163	298	209	266	266	211	212
HIS92_RS23310	NZ_CP051858.1	4547342	4547812	-	471	279	118	218	55	115	85	146	87	354	79	178	66	118	81	108	170	84	70
HIS92_RS23315	NZ_CP051858.1	4547951	4548901	-	951	380	570	377	426	347	376	356	533	387	443	309	391	323	407	289	612	171	460
HIS92_RS23320	NZ_CP051858.1	4549168	4549317	+	150	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
HIS92_RS23325	NZ_CP051858.1	4549433	4550092	+	660	221	281	208	175	221	160	237	144	240	169	156	146	205	181	223	236	168	197
HIS92_RS23330	NZ_CP051858.1	4550122	4551159	-	1038	8	31	20	52	32	35	33	22	29	16	16	21	34	15	50	40	41	42
HIS92_RS23335	NZ_CP051858.1	4551293	4551745	+	453	30	44	49	34	45	33	44	65	52	47	21	38	27	46	39	53	25	47
HIS92_RS23340	NZ_CP051858.1	4551771	4552757	+	987	70	110	89	88	104	98	78	93	86	100	39	120	93	88	73	113	72	96
HIS92_RS23345	NZ_CP051858.1	4552842	4554503	+	1662	3	8	2	9	5	8	6	2	2	7	9	6	7	4	3	2	6	6
HIS92_RS23350	NZ_CP051858.1	4554563	4554979	+	417	6	22	12	7	6	22	19	15	3	4	3	17	7	7	9	3	9	8
HIS92_RS23355	NZ_CP051858.1	4554993	4555538	+	546	1	6	6	7	2	9	3	4	9	6	8	4	6	4	6	8	2	3
HIS92_RS23360	NZ_CP051858.1	4555552	4556163	+	612	3	10	14	18	19	7	13	8	15	6	7	9	6	6	15	23	9	3
HIS92_RS23365	NZ_CP051858.1	4556209	4556769	-	561	29	21	33	23	22	12	16	13	24	7	31	21	26	16	15	14	26	16
HIS92_RS23370	NZ_CP051858.1	4556951	4558027	+	1077	3	5	5	0	4	3	9	6	1	3	7	5	8	5	5	6	4	4
HIS92_RS23375	NZ_CP051858.1	4558132	4558749	+	618	17	17	15	22	20	35	36	22	18	29	18	35	24	32	19	42	21	17
HIS92_RS23380	NZ_CP051858.1	4558854	4559456	+	603	307	423	370	313	339	371	405	428	422	340	240	421	405	432	249	495	234	356
HIS92_RS23385	NZ_CP051858.1	4559559	4560938	+	1380	75	91	81	74	101	94	114	79	83	93	54	63	125	78	93	94	78	92
HIS92_RS23390	NZ_CP051858.1	4561122	4562063	+	942	226	221	283	279	359	290	374	256	315	284	249	205	329	210	292	405	197	259
HIS92_RS23395	NZ_CP051858.1	4562262	4563158	+	897	134	165	222	219	245	162	264	271	262	258	165	260	207	194	211	278	136	271
HIS92_RS23400	NZ_CP051858.1	4563162	4564031	+	870	328	436	455	428	499	470	498	559	579	471	342	470	518	472	377	609	338	500
HIS92_RS23405	NZ_CP051858.1	4564151	4564657	+	507	26	25	30	10	33	9	18	16	31	13	11	16	21	10	11	34	15	29
HIS92_RS23410	NZ_CP051858.1	4564784	4564870	-	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
HIS92_RS23415	NZ_CP051858.1	4565031	4566215	+	1185	2	0	1	2	2	0	1	1	1	0	1	4	0	5	0	1	1	0
HIS92_RS23420	NZ_CP051858.1	4566247	4566705	+	459	10	0	0	6	2	4	4	3	2	3	2	2	4	6	1	4	8	0
HIS92_RS23425	NZ_CP051858.1	4566932	4567111	+	180	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
HIS92_RS23430	NZ_CP051858.1	4567213	4567836	+	624	8	3	5	5	9	3	16	2	0	10	7	6	11	10	7	4	10	8
HIS92_RS23435	NZ_CP051858.1	4567861	4568343	-	483	113	180	125	163	149	137	177	211	163	163	96	216	147	185	143	285	166	280
HIS92_RS23440	NZ_CP051858.1	4568345	4569652	-	1308	328	417	355	458	443	448	548	522	510	494	365	603	463	508	451	812	483	893
HIS92_RS23445	NZ_CP051858.1	4569861	4570730	-	870	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
HIS92_RS23450	NZ_CP051858.1	4571065	4571652	+	588	1	4	1	1	1	2	0	1	0	1	1	2	2	3	0	3	1	0
HIS92_RS23455	NZ_CP051858.1	4571670	4572293	+	624	2	0	0	1	0	0	3	2	1	0	1	0	0	0	3	0	0	0
HIS92_RS23460	NZ_CP051858.1	4572483	4573130	+	648	8	29	22	13	32	16	26	7	23	9	21	13	14	14	10	13	19	4
HIS92_RS23465	NZ_CP051858.1	4573571	4574923	+	1353	967	1142	1401	1121	1469	1263	1520	1499	1543	1257	1280	1487	1578	1260	1045	1666	1062	1508
HIS92_RS23470	NZ_CP051858.1	4574990	4575319	+	330	0	2	5	7	3	2	5	9	1	7	1	4	2	7	1	3	0	1
HIS92_RS23475	NZ_CP051858.1	4575300	4575866	+	567	4	25	12	8	17	17	21	12	5	10	4	21	12	5	3	10	5	8
HIS92_RS23480	NZ_CP051858.1	4575839	4576144	-	306	0	2	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0
HIS92_RS23485	NZ_CP051858.1	4576149	4576445	-	297	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	1
HIS92_RS23490	NZ_CP051858.1	4576534	4577688	+	1155	6	23	16	23	30	19	10	18	17	21	14	23	33	16	12	34	10	23
HIS92_RS23495	NZ_CP051858.1	4577945	4578442	+	498	1	1	2	3	3	10	1	2	0	0	2	0	2	0	0	4	1	1
HIS92_RS23500	NZ_CP051858.1	4578454	4579194	+	741	2	9	11	7	10	16	10	4	8	7	4	12	9	17	5	8	4	7
HIS92_RS23505	NZ_CP051858.1	4579218	4579664	+	447	0	4	1	0	0	5	1	0	0	0	1	0	0	2	0	1	1	1
HIS92_RS23510	NZ_CP051858.1	4579846	4581321	+	1476	3	3	4	4	11	10	8	6	1	3	3	1	1	4	6	0	2	2
HIS92_RS23515	NZ_CP051858.1	4581390	4582589	-	1200	1	9	4	4	3	1	6	5	6	4	4	6	2	9	6	8	4	1
HIS92_RS23520	NZ_CP051858.1	4582862	4583290	+	429	415	330	432	184	335	327	300	327	461	300	285	426	341	380	196	422	265	314
HIS92_RS23525	NZ_CP051858.1	4583293	4584261	+	969	963	726	827	560	728	701	897	877	1141	731	698	799	894	827	604	982	582	745
HIS92_RS23530	NZ_CP051858.1	4584333	4585487	+	1155	4	4	2	2	2	7	4	7	9	3	3	7	5	9	8	8	2	2
HIS92_RS23535	NZ_CP051858.1	4585577	4586167	+	591	51	63	59	53	72	68	72	44	52	68	43	49	76	44	52	78	49	43
HIS92_RS23540	NZ_CP051858.1	4586174	4586950	+	777	44	72	85	54	86	79	89	48	46	52	52	53	77	50	73	77	57	45
HIS92_RS23545	NZ_CP051858.1	4587099	4587644	+	546	153	195	208	145	212	188	221	147	162	111	110	158	230	133	138	177	161	132
HIS92_RS23550	NZ_CP051858.1	4587841	4589022	+	1182	5	10	6	5	3	0	8	7	12	3	5	3	9	4	8	5	4	4
HIS92_RS23555	NZ_CP051858.1	4589031	4589492	-	462	3	1	1	4	4	2	1	6	1	4	1	3	4	2	2	1	3	2
HIS92_RS23560	NZ_CP051858.1	4589664	4590839	+	1176	259	267	317	294	373	348	437	344	331	357	254	287	311	225	362	339	226	252
HIS92_RS23565	NZ_CP051858.1	4590860	4591573	-	714	0	4	1	0	8	6	1	2	0	0	1	0	3	1	6	1	0	3
HIS92_RS23570	NZ_CP051858.1	4591566	4592453	-	888	1	2	2	3	0	1	7	5	0	1	0	2	4	1	2	0	0	1
HIS92_RS23575	NZ_CP051858.1	4592477	4593355	-	879	1	9	4	7	8	4	5	10	5	2	4	10	3	8	4	3	4	7
HIS92_RS23580	NZ_CP051858.1	4593755	4594963	+	1209	12	36	17	21	22	20	43	13	17	21	13	13	43	13	26	13	13	22
HIS92_RS23585	NZ_CP051858.1	4595144	4595989	+	846	295	315	191	274	144	201	146	138	441	167	146	409	126	299	138	333	362	311
HIS92_RS23590	NZ_CP051858.1	4596079	4597494	-	1416	5	12	3	12	16	13	29	11	9	13	11	19	12	17	11	8	9	10
HIS92_RS23595	NZ_CP051858.1	4597624	4598046	+	423	6	9	8	8	7	4	13	7	10	8	10	7	4	3	14	6	7	13
HIS92_RS23600	NZ_CP051858.1	4598228	4599355	+	1128	19	14	23	24	12	34	15	21	12	26	10	32	25	8	21	28	17	15
HIS92_RS23605	NZ_CP051858.1	4599413	4600039	-	627	0	1	2	1	5	1	1	0	1	1	0	0	2	0	0	1	0	3
HIS92_RS23610	NZ_CP051858.1	4600176	4600742	+	567	2	4	11	4	9	8	14	2	2	4	1	4	6	1	6	3	2	2
HIS92_RS23615	NZ_CP051858.1	4600749	4601309	+	561	9	9	6	10	11	14	16	12	6	10	7	4	14	9	7	11	4	5
HIS92_RS23620	NZ_CP051858.1	4601306	4601791	+	486	3	7	10	2	12	15	11	6	3	8	5	12	9	1	14	14	6	5
HIS92_RS23625	NZ_CP051858.1	4601804	4601944	+	141	3	0	0	0	1	1	0	0	0	2	2	0	0	0	0	0	0	0
HIS92_RS23630	NZ_CP051858.1	4601981	4602169	+	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIS92_RS23635	NZ_CP051858.1	4602173	4602601	+	429	0	2	3	1	0	5	4	1	1	4	5	2	2	2	0	1	0	3
HIS92_RS23640	NZ_CP051858.1	4602911	4603207	+	297	83	123	84	107	90	101	131	158	93	108	59	69	89	76	125	138	64	114
HIS92_RS23645	NZ_CP051858.1	4603361	4607125	+	3765	326	801	499	857	561	777	716	918	536	698	402	685	596	610	505	906	389	1003
HIS92_RS23650	NZ_CP051858.1	4607097	4607600	+	504	23	70	38	59	39	53	50	70	40	40	26	30	28	39	21	46	29	47
HIS92_RS23655	NZ_CP051858.1	4607605	4607856	+	252	2	4	4	13	9	12	7	14	9	16	8	3	9	4	6	17	3	17
HIS92_RS23660	NZ_CP051858.1	4607930	4609129	+	1200	49	92	61	98	77	90	78	112	76	87	77	68	99	61	82	125	59	115
HIS92_RS23665	NZ_CP051858.1	4609169	4613674	+	4506	194	491	276	347	334	386	364	417	276	404	221	312	312	294	313	416	227	390
HIS92_RS23670	NZ_CP051858.1	4613671	4614501	+	831	14	18	20	24	14	20	21	17	11	27	18	11	24	6	17	23	9	9
HIS92_RS23675	NZ_CP051858.1	4614524	4616107	+	1584	42	127	115	93	88	98	113	77	65	108	66	71	89	58	107	122	59	65
HIS92_RS23680	NZ_CP051858.1	4616147	4616407	+	261	1	9	3	13	5	4	4	14	3	5	0	7	4	1	3	5	6	3
HIS92_RS23685	NZ_CP051858.1	4616409	4616759	+	351	7	19	13	14	23	19	23	22	11	19	15	10	20	8	12	16	7	12
HIS92_RS23690	NZ_CP051858.1	4616835	4617647	+	813	3	5	5	1	3	6	2	5	4	3	1	0	2	0	1	5	0	4
HIS92_RS23695	NZ_CP051858.1	4617682	4618457	+	776	3	4	1	14	10	5	10	3	8	13	6	5	9	13	11	10	1	10
HIS92_RS23700	NZ_CP051858.1	4618967	4619188	-	222	46	94	104	124	127	109	155	108	79	113	74	76	144	73	129	102	95	67
HIS92_RS23705	NZ_CP051858.1	4619427	4619693	+	267	1	1	2	3	4	3	4	3	3	4	2	9	4	5	1	4	4	1
HIS92_RS23710	NZ_CP051858.1	4621505	4621714	+	210	3	0	1	2	0	3	2	0	0	2	0	0	1	0	0	0	1	1
HIS92_RS23715	NZ_CP051858.1	4621810	4622658	+	849	16	19	17	16	26	13	24	17	14	13	16	13	22	11	13	15	11	13
HIS92_RS23720	NZ_CP051858.1	4622929	4623417	+	489	8	4	13	5	9	3	9	1	11	7	18	10	13	5	2	5	10	8
HIS92_RS23725	NZ_CP051858.1	4624057	4624251	+	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIS92_RS23730	NZ_CP051858.1	4624365	4624655	+	291	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HIS92_RS23735	NZ_CP051858.1	4624801	4625679	+	879	1	0	0	2	2	1	0	0	0	0	0	0	0	2	1	0	0	0
HIS92_RS23740	NZ_CP051858.1	4625747	4626226	+	480	1	0	0	0	0	1	4	0	0	2	2	1	0	1	0	0	3	1
HIS92_RS23745	NZ_CP051858.1	4626226	4626663	+	438	0	4	3	1	0	0	0	2	1	3	1	1	0	0	0	0	1	4
HIS92_RS23750	NZ_CP051858.1	4626677	4626922	+	246	3	1	0	0	1	1	2	2	2	0	2	1	1	2	3	0	3	2
HIS92_RS23755	NZ_CP051858.1	4627242	4627577	+	336	63	75	111	64	100	74	126	70	61	79	67	47	108	60	90	63	76	62
HIS92_RS23760	NZ_CP051858.1	4627664	4627885	-	222	1	6	6	3	4	0	9	5	6	2	3	5	7	4	8	4	6	4
HIS92_RS23765	NZ_CP051858.1	4628189	4628377	-	189	683	1006	1481	1098	1011	1113	717	1741	1700	1408	1180	1969	737	2182	357	3061	1074	2335
HIS92_RS23770	NZ_CP051858.1	4628777	4629532	-	756	0	0	3	2	0	1	2	1	3	2	0	1	0	0	4	3	2	1
HIS92_RS23775	NZ_CP051858.1	4629670	4630587	-	918	0	0	3	0	0	2	1	2	0	0	0	0	0	0	1	1	3	1
HIS92_RS23780	NZ_CP051858.1	4630735	4631349	-	615	1	0	7	2	3	3	5	1	2	3	7	1	6	3	2	1	2	0
HIS92_RS23785	NZ_CP051858.1	4631481	4631906	+	426	6	8	4	0	6	5	9	0	1	6	4	3	1	1	5	5	0	2
HIS92_RS23790	NZ_CP051858.1	4632067	4632843	+	777	3374	2831	2809	2106	2353	2519	2392	2803	4315	2674	2734	2781	2329	2944	1607	5471	2367	4228
HIS92_RS23795	NZ_CP051858.1	4632895	4633215	+	321	367	317	333	224	236	244	278	335	642	269	308	295	257	309	174	571	267	410
HIS92_RS23800	NZ_CP051858.1	4633285	4633497	+	213	1	4	9	1	9	1	5	1	7	11	2	1	3	4	3	6	2	12
HIS92_RS23805	NZ_CP051858.1	4633527	4633865	-	339	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HIS92_RS23810	NZ_CP051858.1	4634166	4634846	+	681	1	4	8	6	12	15	7	5	7	10	0	8	4	14	9	5	8	11
HIS92_RS23815	NZ_CP051858.1	4634878	4636629	+	1752	783	1149	967	1223	1380	1245	1591	962	971	912	904	726	1333	725	1488	1496	1362	1349
HIS92_RS23820	NZ_CP051858.1	4636720	4637247	+	528	346	469	423	334	593	403	586	382	486	398	417	240	575	310	440	445	431	362
HIS92_RS23825	NZ_CP051858.1	4637267	4638436	+	1170	516	715	678	701	940	754	1009	576	526	648	599	399	952	365	902	591	604	538
HIS92_RS23830	NZ_CP051858.1	4638626	4639435	+	810	7	14	11	10	19	16	15	2	11	8	2	7	9	11	7	10	7	1
HIS92_RS23835	NZ_CP051858.1	4639492	4639875	+	384	10	12	9	8	12	12	14	17	23	13	4	25	10	10	10	27	11	15
HIS92_RS23840	NZ_CP051858.1	4639920	4640558	-	639	5	42	13	44	13	41	11	61	8	40	10	27	7	37	8	36	10	45
HIS92_RS23845	NZ_CP051858.1	4640588	4641574	-	987	6	41	4	25	8	46	7	43	2	44	7	42	1	57	5	55	0	38
HIS92_RS23850	NZ_CP051858.1	4641779	4642357	+	579	4	8	3	7	2	2	3	1	6	5	1	3	6	7	5	4	1	3
HIS92_RS23855	NZ_CP051858.1	4642354	4643034	+	681	7	7	4	2	7	13	8	12	7	3	1	5	3	5	9	8	5	1
HIS92_RS23860	NZ_CP051858.1	4643138	4645084	-	1947	67	168	140	183	133	148	138	162	96	162	92	188	154	142	118	194	118	166
HIS92_RS23865	NZ_CP051858.1	4645195	4645629	-	435	1	0	2	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0
HIS92_RS23870	NZ_CP051858.1	4645715	4646686	-	972	31	43	32	93	56	63	84	55	14	35	23	40	46	30	85	48	55	43
HIS92_RS23875	NZ_CP051858.1	4646782	4646991	-	210	97	28	94	20	60	27	51	28	136	41	66	32	57	23	33	56	41	52
HIS92_RS23880	NZ_CP051858.1	4647216	4647698	+	483	41	54	50	42	60	67	77	47	50	42	31	31	59	32	39	65	59	56
HIS92_RS23885	NZ_CP051858.1	4647782	4650010	-	2229	1	3	2	4	2	4	4	2	4	2	4	8	3	5	3	2	5	3
HIS92_RS23890	NZ_CP051858.1	4650007	4651221	-	1215	1	0	2	3	6	1	0	1	2	0	0	0	4	3	3	1	0	1
HIS92_RS23895	NZ_CP051858.1	4651221	4652183	-	963	0	1	1	0	0	1	0	0	0	0	1	0	1	0	1	0	2	0
HIS92_RS23900	NZ_CP051858.1	4652735	4656418	+	3684	9	17	17	11	11	12	24	5	7	8	13	9	13	18	12	10	9	7
HIS92_RS23905	NZ_CP051858.1	4656408	4657883	+	1476	12	3	1	3	5	0	1	8	4	3	4	6	3	1	1	4	8	4
HIS92_RS23910	NZ_CP051858.1	4657903	4658433	+	531	2	1	2	2	0	2	0	2	1	0	0	2	0	1	0	0	1	0
HIS92_RS23915	NZ_CP051858.1	4658451	4659140	+	690	1	2	2	5	1	1	4	2	1	5	6	6	7	2	0	2	2	2
HIS92_RS23920	NZ_CP051858.1	4659277	4659969	-	693	32	44	32	51	71	52	68	48	28	39	28	37	60	26	53	36	30	37
HIS92_RS23925	NZ_CP051858.1	4660295	4661308	+	1014	1	1	2	0	2	0	0	0	1	0	0	5	1	1	0	2	0	0
HIS92_RS23930	NZ_CP051858.1	4661326	4662339	+	1014	0	2	0	0	5	0	0	0	0	1	0	0	2	2	2	0	2	0
HIS92_RS23935	NZ_CP051858.1	4662382	4663671	+	1290	6	2	4	4	0	0	2	2	0	0	0	3	2	1	2	1	0	0
HIS92_RS23940	NZ_CP051858.1	4663716	4664186	+	471	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0
HIS92_RS23945	NZ_CP051858.1	4664183	4664416	+	234	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HIS92_RS23950	NZ_CP051858.1	4664497	4665666	+	1170	2	14	9	10	9	8	10	7	16	17	4	8	5	8	1	14	2	13
HIS92_RS23955	NZ_CP051858.1	4666254	4667171	+	918	5	26	10	23	11	31	4	35	2	34	4	30	10	22	7	58	1	66
HIS92_RS23960	NZ_CP051858.1	4667519	4667896	+	378	17	25	17	26	13	20	18	27	13	44	17	13	17	24	12	41	6	32
HIS92_RS23965	NZ_CP051858.1	4668084	4668557	-	474	2	4	1	1	2	2	2	2	0	1	0	0	1	1	3	0	0	0
HIS92_RS23970	NZ_CP051858.1	4668550	4669260	-	711	0	5	0	6	2	7	3	1	2	2	2	2	0	0	0	5	0	1
HIS92_RS23975	NZ_CP051858.1	4669257	4670681	-	1425	0	3	0	3	1	2	9	0	1	3	0	2	3	3	2	2	7	0
HIS92_RS23980	NZ_CP051858.1	4670740	4671057	-	318	2	1	4	3	4	5	2	1	2	0	0	0	1	3	1	1	3	1
HIS92_RS23985	NZ_CP051858.1	4671073	4673478	-	2406	17	19	8	17	14	32	13	15	15	6	12	15	15	15	7	12	8	8
HIS92_RS23990	NZ_CP051858.1	4673687	4674394	-	708	3	6	7	7	5	9	12	10	12	12	7	6	4	2	9	7	7	10
HIS92_RS23995	NZ_CP051858.1	4674610	4675593	-	984	62	71	115	73	127	117	116	176	95	180	73	91	102	103	75	197	67	221
HIS92_RS24000	NZ_CP051858.1	4675801	4675953	+	153	0	0	1	0	0	0	0	0	0	2	2	0	2	0	1	1	0	0
HIS92_RS24005	NZ_CP051858.1	4676172	4676381	+	210	2	2	1	0	2	2	3	0	0	0	0	0	1	0	2	1	2	0
HIS92_RS24010	NZ_CP051858.1	4676478	4677317	-	840	1	1	6	0	3	2	2	0	2	0	4	1	3	0	4	3	3	3
HIS92_RS24015	NZ_CP051858.1	4677871	4679472	+	1602	9	9	15	5	8	6	7	12	3	9	4	16	6	2	7	12	9	14
HIS92_RS24020	NZ_CP051858.1	4679628	4680176	-	549	2	0	1	1	2	0	3	3	2	1	0	0	0	0	0	0	1	0
HIS92_RS24025	NZ_CP051858.1	4680789	4681064	+	276	6	11	5	11	5	8	12	1	5	4	2	6	5	10	6	10	3	2
HIS92_RS24030	NZ_CP051858.1	4681263	4681526	+	264	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HIS92_RS24035	NZ_CP051858.1	4681558	4681731	+	174	0	2	1	2	4	0	0	1	1	1	0	0	0	0	0	3	1	0
HIS92_RS24040	NZ_CP051858.1	4682173	4682520	-	348	0	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0
